Current Supply Demand Report


"Last Update : Dec 04, 2025 00:55"

"Alberta Total Net Generation","11307"
"Net Actual Interchange","973"
"Alberta Internal Load (AIL)","10334"
"Net-To-Grid Generation","8394"
"Contingency Reserve Required","473"
"Dispatched Contingency Reserve (DCR)","484"
"Dispatched Contingency Reserve -Gen","452"
"Dispatched Contingency Reserve -Other","32"
"FFR Armed Dispatch","0"
"FFR Offered Volume","210"
"Long Lead Time Volume","1590"

"COGENERATION","6104","4957","31"
"WIND","5684","3498","0"
"COMBINED CYCLE","3974","2015","10"
"GAS FIRED STEAM","3078","414","61"
"SOLAR","1850","0","0"
"SIMPLE CYCLE","984","62","0"
"HYDRO","899","98","215"
"OTHER","479","263","12"
"ENERGY STORAGE","190","0","123"
"TOTAL","23242","11307","452"

"British Columbia","813"
"Montana","84"
"Saskatchewan","76"
"TOTAL","973"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","0","0"
"Bantry (ALP1)","7","0","0"
"Bellshill (BHL1)","5","0","0"
"Benalto 1 (VBN1)","5","0","0"
"Briker 1 (VBR1)","5","0","0"
"Carson Creek (GEN5)","15","0","0"
"Cloverbar #1 (ENC1)","48","0","0"
"Cloverbar #2 (ENC2)","101","0","0"
"Cloverbar #3 (ENC3)","101","0","0"
"Crossfield Energy Centre #1 (CRS1)","48","0","0"
"Crossfield Energy Centre #2 (CRS2)","48","0","0"
"Crossfield Energy Centre #3 (CRS3)^","48","0","0"
"Drywood (DRW1)","6","0","0"
"High River 1 (HRV1)","10","0","0"
"High River 2 (HRV2)","10","0","0"
"Judy Creek (GEN6)","15","0","0"
"Kenilworth 1 (VKW1)","5","0","0"
"Lethbridge Burdett (ME03)","7","0","0"
"Lethbridge Coaldale (ME04)","6","0","0"
"Lethbridge Taber (ME02)","8","0","0"
"NPC2 JL Landry (NPC2)","9","0","0"
"NPC3 Elmworth (NPC3)","9","0","0"
"Netook 1 (VNT1)","5","0","0"
"Northern Prairie Power Project (NPP1)","105","45","0"
"Northern Valley 1 (VNV1)","5","0","0"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","0","0"
"Rainbow #5 (RB5)","50","0","0"
"Ralston (NAT1)","20","0","0"
"South Edmonton Terminal (SET1)","20","0","0"
"Valley View 1 (VVW1)","50","0","0"
"Valley View 2 (VVW2)","50","0","0"
"West Cadotte (WCD1)","20","17","0"
"West Pembina (PMB1)*","13","0","0"
"Wilson Creek (WLC1)","9","0","0"
"<center><b>Cogeneration</b></center>"
"ASSET","MC","TNG","DCR"
"Air Liquide Scotford #1 (ALS1)","106","71","16"
"AltaGas Harmattan (HMT1)","45","39","0"
"Base Plant (SCR1)","856","825","0"
"Bear Creek 1 (BCRK)","64","61","0"
"Bear Creek 2 (BCR2)","36","28","0"
"Blackfalds (BFD1)","6","0","0"
"CNRL Horizon (CNR5)*","203","199","0"
"COD1 Coaldale (COD1)","5","4","0"
"Camrose (CRG1)*","10","10","0"
"Caroline (SHCG)*","19","0","0"
"Carseland Cogen (TC01)","95","64","0"
"Christina Lake (CL01)","100","91","0"
"Dow Hydrocarbon (DOWG)","326","91","0"
