Current Supply Demand Report


"Last Update : Sep 09, 2025 14:36"

"Alberta Total Net Generation","11228"
"Net Actual Interchange","274"
"Alberta Internal Load (AIL)","10954"
"Net-To-Grid Generation","8611"
"Contingency Reserve Required","508"
"Dispatched Contingency Reserve (DCR)","514"
"Dispatched Contingency Reserve -Gen","417"
"Dispatched Contingency Reserve -Other","97"
"FFR Armed Dispatch","200"
"FFR Offered Volume","303"
"Long Lead Time Volume","555"

"COGENERATION","6097","3562","19"
"WIND","5684","864","0"
"COMBINED CYCLE","3942","3059","15"
"GAS FIRED STEAM","3078","1462","45"
"SOLAR","1826","1472","0"
"SIMPLE CYCLE","984","260","55"
"HYDRO","899","298","239"
"OTHER","479","251","12"
"ENERGY STORAGE","190","0","32"
"TOTAL","23179","11228","417"

"British Columbia","223"
"Montana","51"
"Saskatchewan","0"
"TOTAL","274"

"<center><b>Simple Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"AB Newsprint (ANC1)","63","52","0"
"Bantry (ALP1)","7","0","0"
"Bellshill (BHL1)","5","0","0"
"Benalto 1 (VBN1)","5","0","0"
"Briker 1 (VBR1)","5","3","0"
"Carson Creek (GEN5)","15","0","0"
"Cloverbar #1 (ENC1)","48","31","0"
"Cloverbar #2 (ENC2)","101","0","0"
"Cloverbar #3 (ENC3)","101","61","20"
"Crossfield Energy Centre #1 (CRS1)","48","0","0"
"Crossfield Energy Centre #2 (CRS2)","48","0","0"
"Crossfield Energy Centre #3 (CRS3)^","48","29","0"
"Drywood (DRW1)","6","0","0"
"High River 1 (HRV1)","10","0","0"
"High River 2 (HRV2)","10","0","0"
"Judy Creek (GEN6)","15","0","0"
"Kenilworth 1 (VKW1)","5","0","0"
"Lethbridge Burdett (ME03)","7","1","0"
"Lethbridge Coaldale (ME04)","6","0","0"
"Lethbridge Taber (ME02)","8","0","0"
"NPC2 JL Landry (NPC2)","9","0","0"
"NPC3 Elmworth (NPC3)","9","0","0"
"Netook 1 (VNT1)","5","0","0"
"Northern Prairie Power Project (NPP1)","105","69","0"
"Northern Valley 1 (VNV1)","5","0","0"
"Parkland (ALP2)","10","0","0"
"Poplar Hill #1 (PH1)","48","0","0"
"Rainbow #5 (RB5)","50","0","0"
"Ralston (NAT1)","20","0","0"
"South Edmonton Terminal (SET1)","20","0","0"
"Valley View 1 (VVW1)","50","0","0"
"Valley View 2 (VVW2)","50","0","35"
"West Cadotte (WCD1)","20","14","0"
"West Pembina (PMB1)*","13","0","0"
"Wilson Creek (WLC1)","9","0","0"
"<center><b>Cogeneration</b></center>"
"ASSET","MC","TNG","DCR"
"Air Liquide Scotford #1 (ALS1)","106","70","14"
"AltaGas Harmattan (HMT1)","45","34","0"
"Base Plant (SCR1)","856","166","0"
"Bear Creek 1 (BCRK)","64","53","0"
"Bear Creek 2 (BCR2)","36","27","0"
"Blackfalds (BFD1)","6","0","0"
"CNRL Horizon (CNR5)*","203","172","0"
"COD1 Coaldale (COD1)","5","1","0"
"Camrose (CRG1)*","10","9","0"
"Caroline (SHCG)*","19","0","0"
"Carseland Cogen (TC01)","95","64","0"
"Christina Lake (CL01)","100","68","0"
"Dow Hydrocarbon (DOWG)","326","151","0"
"Edson (TLM2)","13","7","0"
"Empress (EPS1)*","46","38","0"
"Firebag (SCR6)","497","293","0"
"Fort Hills (FH1)","199","157","0"
"Foster Creek (EC04)","98","67","0"
"Heartland Petrochemical (HRT1)","108","83","5"
"Joffre #1 (JOF1)","474","350","0"
"Kearl (IOR3)","84","54","0"
"Lindbergh (PEC1)*","23","18","0"
"MEG1 Christina Lake (MEG1)","202","139","0"
"MacKay River (MKRC)","207","0","0"
"Mahkeses (IOR1)","180","142","0"
"Mulligan (MUL1)*","5","0","0"
"Muskeg River (MKR1)","202","152","0"
"Nabiye (IOR2)*","195","142","0"
"Nexen Inc #2 (NX02)","220","77","0"
"Poplar Creek (SCR5)","376","325","0"
"Primrose #1 (PR1)","100","71","0"
"Rainbow Lake #1 (RL1)","47","30","0"
"Redwater Cogen (TC02)","92","65","0"
"Saddle Hills (SDH1)","10","2","0"
"Scotford Upgrader (APS1)","195","138","0"
"Strathcona (IOR4)*","43","42","0"
"Syncrude #1 (SCL1)","510","320","0"
"U of C Generator (UOC1)*","12","0","0"
"University of Alberta (UOA1)*","39","2","0"
"Wapiti (WPT1)*","30","20","0"
"Wembley (WEM1)*","19","13","0"
"<center><b>Combined Cycle</b></center>"
"ASSET","MC","TNG","DCR"
"Cascade 1 (CAS1)","450","446","0"
"Cascade 2 (CAS2)","450","445","0"
"Cavalier (EC01)","120","84","0"
"ENMAX Calgary Energy Centre (CAL1)","330","275","0"
"Fort Nelson (FNG1)","73","32","0"
"Genesee Repower 1 (GNR1)","466","465","0"
